,Unnamed: 0,Latest: Time (s),Latest: Pressure (kPa)
0,0,0.0,101.873542434
1,1,0.0025,101.937220421
2,2,0.005,101.937220421
3,3,0.0075,101.937220421
4,4,0.01,101.937220421
5,5,0.0125,101.937220421
6,6,0.015,101.873542434
7,7,0.0175,101.937220421
8,8,0.02,101.937220421
9,9,0.0225,101.937220421
10,10,0.025,101.937220421
11,11,0.0275,101.937220421
12,12,0.03,101.937220421
13,13,0.0325,101.937220421
14,14,0.035,101.937220421
15,15,0.0375,101.937220421
16,16,0.04,101.937220421
17,17,0.0425,101.937220421
18,18,0.045,101.937220421
19,19,0.0475,101.937220421
20,20,0.05,101.873542434
21,21,0.0525,101.937220421
22,22,0.055,101.937220421
23,23,0.0575,101.937220421
24,24,0.06,101.937220421
25,25,0.0625,101.937220421
26,26,0.065,101.937220421
27,27,0.0675,101.937220421
28,28,0.07,101.937220421
29,29,0.0725,101.937220421
30,30,0.075,101.937220421
31,31,0.0775,101.937220421
32,32,0.08,101.937220421
33,33,0.0825,101.937220421
34,34,0.085,101.937220421
35,35,0.0875,101.937220421
36,36,0.09,101.937220421
37,37,0.0925,101.937220421
38,38,0.095,101.937220421
39,39,0.0975,101.937220421
40,40,0.1,101.937220421
41,41,0.1025,101.937220421
42,42,0.105,101.937220421
43,43,0.1075,101.937220421
44,44,0.11,101.997152645
45,45,0.1125,101.937220421
46,46,0.115,101.937220421
47,47,0.1175,101.937220421
48,48,0.12,101.937220421
49,49,0.1225,101.873542434
50,50,0.125,101.873542434
51,51,0.1275,101.937220421
52,52,0.13,101.937220421
53,53,0.1325,101.937220421
54,54,0.135,101.937220421
55,55,0.1375,101.937220421
56,56,0.14,101.937220421
57,57,0.1425,101.937220421
58,58,0.145,101.937220421
59,59,0.1475,101.937220421
60,60,0.15,101.937220421
61,61,0.1525,101.937220421
62,62,0.155,101.937220421
63,63,0.1575,101.937220421
64,64,0.16,101.937220421
65,65,0.1625,101.937220421
66,66,0.165,101.937220421
67,67,0.1675,101.937220421
68,68,0.17,101.937220421
69,69,0.1725,101.937220421
70,70,0.175,101.937220421
71,71,0.1775,101.937220421
72,72,0.18,101.937220421
73,73,0.1825,101.937220421
74,74,0.185,101.937220421
75,75,0.1875,101.937220421
76,76,0.19,101.937220421
77,77,0.1925,101.873542434
78,78,0.195,101.937220421
79,79,0.1975,101.937220421
80,80,0.2,101.937220421
81,81,0.2025,101.937220421
82,82,0.205,101.937220421
83,83,0.2075,101.937220421
84,84,0.21,101.937220421
