,Latest: Time (s),Latest: Pressure (kPa)
0,0.0,100.405202962
1,0.0025,100.405202962
2,0.005,100.405202962
3,0.0075,100.405202962
4,0.01,100.405202962
5,0.0125,100.405202962
6,0.015,100.405202962
7,0.0175,100.405202962
8,0.02,100.405202962
9,0.0225,100.405202962
10,0.025,100.405202962
11,0.0275,100.405202962
12,0.03,100.405202962
13,0.0325,100.405202962
14,0.035,100.405202962
15,0.0375,100.405202962
16,0.04,100.465135185
17,0.0425,100.465135185
18,0.045,100.405202962
19,0.0475,100.405202962
20,0.05,100.405202962
21,0.0525,100.405202962
22,0.055,100.405202962
23,0.0575,100.405202962
24,0.06,100.405202962
25,0.0625,100.405202962
26,0.065,100.405202962
27,0.0675,100.405202962
28,0.07,100.405202962
29,0.0725,100.405202962
30,0.075,100.405202962
31,0.0775,100.405202962
32,0.08,100.465135185
33,0.0825,100.465135185
34,0.085,100.405202962
35,0.0875,100.405202962
36,0.09,100.405202962
37,0.0925,100.465135185
38,0.095,100.405202962
39,0.0975,100.405202962
40,0.1,100.405202962
41,0.1025,100.405202962
42,0.105,100.405202962
43,0.1075,100.405202962
44,0.11,100.405202962
45,0.1125,100.405202962
46,0.115,100.405202962
47,0.1175,100.405202962
48,0.12,100.405202962
49,0.1225,100.405202962
50,0.125,100.405202962
51,0.1275,100.405202962
52,0.13,100.465135185
53,0.1325,100.405202962
54,0.135,100.405202962
55,0.1375,100.405202962
56,0.14,100.405202962
57,0.1425,100.405202962
58,0.145,100.405202962
59,0.1475,100.405202962
60,0.15,100.465135185
61,0.1525,100.405202962
62,0.155,100.405202962
63,0.1575,100.405202962
64,0.16,100.405202962
65,0.1625,100.465135185
66,0.165,100.405202962
67,0.1675,100.405202962
68,0.17,100.405202962
69,0.1725,100.405202962
70,0.175,100.405202962
71,0.1775,100.405202962
72,0.18,100.405202962
73,0.1825,100.405202962
74,0.185,100.405202962
75,0.1875,100.465135185
76,0.19,100.405202962
77,0.1925,100.405202962
78,0.195,100.405202962
79,0.1975,100.405202962
80,0.2,100.405202962
81,0.2025,100.405202962
82,0.205,100.405202962
83,0.2075,100.405202962
84,0.21,100.405202962
85,0.2125,100.405202962
86,0.215,100.405202962
87,0.2175,100.405202962
88,0.22,100.405202962
89,0.2225,100.405202962
90,0.225,100.405202962
91,0.2275,100.405202962
92,0.23,100.405202962
93,0.2325,100.405202962
94,0.235,100.405202962
95,0.2375,100.465135185
96,0.24,100.465135185
97,0.2425,100.405202962
98,0.245,100.405202962
99,0.2475,100.405202962
100,0.25,100.405202962
101,0.2525,100.405202962
102,0.255,100.405202962
103,0.2575,100.405202962
104,0.26,100.405202962
105,0.2625,100.405202962
106,0.265,100.405202962
107,0.2675,100.405202962
108,0.27,100.405202962
109,0.2725,100.405202962
110,0.275,100.405202962
111,0.2775,100.405202962
112,0.28,100.465135185
113,0.2825,100.405202962
114,0.285,100.405202962
115,0.2875,100.405202962
116,0.29,100.405202962
117,0.2925,100.405202962
118,0.295,100.405202962
119,0.2975,100.405202962
120,0.3,100.405202962
121,0.3025,100.405202962
122,0.305,100.405202962
123,0.3075,100.405202962
124,0.31,100.405202962
125,0.3125,100.345270738
126,0.315,100.405202962
127,0.3175,100.405202962
128,0.32,100.405202962
129,0.3225,100.405202962
130,0.325,100.405202962
131,0.3275,100.405202962
132,0.33,100.405202962
133,0.3325,100.405202962
134,0.335,100.405202962
135,0.3375,100.405202962
136,0.34,100.405202962
137,0.3425,100.405202962
138,0.345,100.405202962
139,0.3475,100.405202962
140,0.35,100.405202962
141,0.3525,100.405202962
142,0.355,100.405202962
143,0.3575,100.405202962
144,0.36,100.465135185
145,0.3625,100.405202962
146,0.365,100.405202962
147,0.3675,100.405202962
148,0.37,100.405202962
149,0.3725,100.405202962
150,0.375,100.405202962
151,0.3775,100.405202962
152,0.38,100.405202962
153,0.3825,100.405202962
154,0.385,100.405202962
155,0.3875,100.405202962
156,0.39,100.465135185
157,0.3925,100.405202962
158,0.395,100.405202962
159,0.3975,100.465135185
160,0.4,100.465135185
161,0.4025,100.405202962
162,0.405,100.405202962
163,0.4075,100.405202962
164,0.41,100.465135185
165,0.4125,100.405202962
166,0.415,100.405202962
167,0.4175,100.345270738
168,0.42,100.405202962
169,0.4225,100.405202962
170,0.425,100.405202962
171,0.4275,100.405202962
172,0.43,100.405202962
173,0.4325,100.405202962
174,0.435,100.405202962
175,0.4375,100.405202962
176,0.44,100.465135185
177,0.4425,100.405202962
178,0.445,100.405202962
179,0.4475,100.405202962
180,0.45,100.405202962
181,0.4525,100.405202962
182,0.455,100.405202962
183,0.4575,100.405202962
184,0.46,100.405202962
185,0.4625,100.405202962
186,0.465,100.405202962
187,0.4675,100.405202962
188,0.47,100.405202962
189,0.4725,100.405202962
190,0.475,100.405202962
191,0.4775,100.465135185
192,0.48,100.465135185
193,0.4825,100.405202962
194,0.485,100.405202962
195,0.4875,100.405202962
196,0.49,100.405202962
197,0.4925,100.405202962
198,0.495,100.405202962
199,0.4975,100.405202962
200,0.5,100.405202962
201,0.5025,100.405202962
202,0.505,100.405202962
203,0.5075,100.405202962
204,0.51,100.405202962
205,0.5125,100.405202962
206,0.515,100.405202962
207,0.5175,100.405202962
208,0.52,100.465135185
209,0.5225,100.405202962
210,0.525,100.405202962
211,0.5275,100.405202962
212,0.53,100.405202962
213,0.5325,100.405202962
214,0.535,100.405202962
215,0.5375,100.405202962
216,0.54,100.405202962
217,0.5425,100.405202962
218,0.545,100.405202962
219,0.5475,100.405202962
220,0.55,100.405202962
221,0.5525,100.405202962
222,0.555,100.405202962
223,0.5575,100.405202962
224,0.56,100.405202962
225,0.5625,100.405202962
226,0.565,100.405202962
227,0.5675,100.405202962
228,0.57,100.405202962
229,0.5725,100.405202962
230,0.575,100.405202962
231,0.5775,100.405202962
232,0.58,100.405202962
233,0.5825,100.405202962
234,0.585,100.405202962
235,0.5875,100.405202962
236,0.59,100.405202962
237,0.5925,100.405202962
238,0.595,100.405202962
239,0.5975,100.465135185
240,0.6,100.405202962
241,0.6025,100.405202962
242,0.605,100.405202962
243,0.6075,100.405202962
244,0.61,100.405202962
245,0.6125,100.405202962
246,0.615,100.405202962
247,0.6175,100.405202962
248,0.62,100.405202962
249,0.6225,100.405202962
250,0.625,100.405202962
251,0.6275,100.405202962
252,0.63,100.405202962
253,0.6325,100.405202962
254,0.635,100.405202962
255,0.6375,100.465135185
256,0.64,100.405202962
257,0.6425,100.405202962
258,0.645,100.405202962
259,0.6475,100.405202962
260,0.65,100.405202962
261,0.6525,100.405202962
262,0.655,100.405202962
263,0.6575,100.405202962
264,0.66,100.405202962
265,0.6625,100.405202962
266,0.665,100.405202962
267,0.6675,100.405202962
268,0.67,100.405202962
269,0.6725,100.345270738
270,0.675,100.405202962
271,0.6775,100.465135185
272,0.68,100.405202962
273,0.6825,100.405202962
274,0.685,100.405202962
275,0.6875,100.405202962
276,0.69,100.405202962
277,0.6925,100.405202962
278,0.695,100.405202962
279,0.6975,100.405202962
280,0.7,100.405202962
281,0.7025,100.405202962
282,0.705,100.405202962
283,0.7075,100.405202962
284,0.71,100.405202962
285,0.7125,100.405202962
286,0.715,100.405202962
287,0.7175,100.405202962
288,0.72,100.405202962
289,0.7225,100.405202962
290,0.725,100.405202962
291,0.7275,100.405202962
292,0.73,100.405202962
293,0.7325,100.405202962
294,0.735,100.405202962
295,0.7375,100.405202962
296,0.74,100.405202962
297,0.7425,100.405202962
298,0.745,100.405202962
299,0.7475,100.405202962
300,0.75,100.405202962
301,0.7525,100.405202962
302,0.755,100.405202962
303,0.7575,100.405202962
304,0.76,100.405202962
305,0.7625,100.405202962
306,0.765,100.405202962
307,0.7675,100.405202962
308,0.77,100.405202962
309,0.7725,100.405202962
310,0.775,100.405202962
311,0.7775,100.405202962
312,0.78,100.405202962
313,0.7825,100.405202962
314,0.785,100.405202962
315,0.7875,100.405202962
316,0.79,100.405202962
317,0.7925,100.405202962
318,0.795,100.405202962
319,0.7975,100.465135185
320,0.8,100.405202962
321,0.8025,100.405202962
322,0.805,100.405202962
323,0.8075,100.405202962
324,0.81,100.405202962
325,0.8125,100.405202962
326,0.815,100.405202962
327,0.8175,100.405202962
328,0.82,100.405202962
329,0.8225,100.405202962
330,0.825,100.405202962
331,0.8275,100.405202962
332,0.83,100.405202962
333,0.8325,100.405202962
334,0.835,100.405202962
335,0.8375,100.465135185
336,0.84,100.405202962
337,0.8425,100.405202962
338,0.845,100.405202962
339,0.8475,100.405202962
340,0.85,100.405202962
341,0.8525,100.405202962
342,0.855,100.405202962
343,0.8575,100.405202962
344,0.86,100.465135185
345,0.8625,100.405202962
346,0.865,100.405202962
347,0.8675,100.405202962
348,0.87,100.405202962
349,0.8725,100.405202962
350,0.875,100.405202962
351,0.8775,100.405202962
352,0.88,100.405202962
353,0.8825,100.405202962
354,0.885,100.405202962
355,0.8875,100.405202962
356,0.89,100.405202962
357,0.8925,100.405202962
358,0.895,100.405202962
359,0.8975,100.405202962
360,0.9,100.405202962
361,0.9025,100.405202962
362,0.905,100.405202962
363,0.9075,100.405202962
364,0.91,100.405202962
365,0.9125,100.405202962
366,0.915,100.405202962
367,0.9175,100.405202962
368,0.92,100.405202962
369,0.9225,100.405202962
370,0.925,100.405202962
371,0.9275,100.465135185
372,0.93,100.405202962
373,0.9325,100.405202962
374,0.935,100.405202962
375,0.9375,100.405202962
376,0.94,100.405202962
377,0.9425,100.405202962
378,0.945,100.405202962
379,0.9475,100.405202962
380,0.95,100.405202962
381,0.9525,100.405202962
382,0.955,100.465135185
383,0.9575,100.405202962
384,0.96,100.405202962
385,0.9625,100.405202962
386,0.965,100.405202962
387,0.9675,100.405202962
388,0.97,100.405202962
389,0.9725,100.405202962
390,0.975,100.405202962
391,0.9775,100.405202962
392,0.98,100.405202962
393,0.9825,100.405202962
394,0.985,100.405202962
395,0.9875,100.405202962
396,0.99,100.405202962
397,0.9925,100.405202962
398,0.995,100.405202962
399,0.9975,100.405202962
400,1.0,100.405202962
401,1.0025,100.405202962
402,1.005,100.405202962
403,1.0075,100.405202962
404,1.01,100.405202962
405,1.0125,100.405202962
406,1.015,100.405202962
407,1.0175,100.405202962
408,1.02,100.405202962
409,1.0225,100.405202962
410,1.025,100.405202962
411,1.0275,100.405202962
412,1.03,100.405202962
413,1.0325,100.405202962
414,1.035,100.405202962
415,1.0375,100.405202962
416,1.04,100.405202962
417,1.0425,100.465135185
418,1.045,100.405202962
419,1.0475,100.405202962
420,1.05,100.405202962
421,1.0525,100.405202962
422,1.055,100.405202962
423,1.0575,100.405202962
424,1.06,100.405202962
425,1.0625,100.405202962
426,1.065,100.405202962
427,1.0675,100.405202962
428,1.07,100.405202962
429,1.0725,100.405202962
430,1.075,100.405202962
431,1.0775,100.405202962
432,1.08,100.405202962
433,1.0825,100.405202962
434,1.085,100.405202962
435,1.0875,100.405202962
436,1.09,100.405202962
437,1.0925,100.405202962
438,1.095,100.405202962
439,1.0975,100.405202962
440,1.1,100.405202962
441,1.1025,100.405202962
442,1.105,100.405202962
443,1.1075,100.405202962
444,1.11,100.405202962
445,1.1125,100.405202962
446,1.115,100.465135185
447,1.1175,100.405202962
448,1.12,100.405202962
449,1.1225,100.405202962
450,1.125,100.405202962
451,1.1275,100.405202962
452,1.13,100.405202962
453,1.1325,100.405202962
454,1.135,100.405202962
455,1.1375,100.405202962
456,1.14,100.405202962
457,1.1425,100.405202962
458,1.145,100.405202962
459,1.1475,100.405202962
460,1.15,100.405202962
461,1.1525,100.465135185
462,1.155,100.405202962
463,1.1575,100.405202962
464,1.16,100.405202962
465,1.1625,100.405202962
466,1.165,100.465135185
467,1.1675,100.405202962
468,1.17,100.405202962
469,1.1725,100.405202962
470,1.175,100.405202962
471,1.1775,100.405202962
472,1.18,100.405202962
473,1.1825,100.465135185
474,1.185,100.405202962
475,1.1875,100.405202962
476,1.19,100.405202962
477,1.1925,100.405202962
478,1.195,100.465135185
479,1.1975,100.405202962
480,1.2,100.405202962
481,1.2025,100.405202962
482,1.205,100.405202962
483,1.2075,100.405202962
484,1.21,100.405202962
485,1.2125,100.405202962
486,1.215,100.405202962
487,1.2175,100.405202962
488,1.22,100.405202962
489,1.2225,100.405202962
490,1.225,100.405202962
491,1.2275,100.405202962
492,1.23,100.405202962
493,1.2325,100.405202962
494,1.235,100.465135185
495,1.2375,100.405202962
496,1.24,100.405202962
497,1.2425,100.405202962
498,1.245,100.405202962
499,1.2475,100.405202962
500,1.25,100.405202962
501,1.2525,100.405202962
502,1.255,100.405202962
503,1.2575,100.405202962
504,1.26,100.405202962
505,1.2625,100.405202962
506,1.265,100.405202962
507,1.2675,100.405202962
508,1.27,100.405202962
509,1.2725,100.465135185
510,1.275,100.405202962
511,1.2775,100.405202962
512,1.28,100.405202962
513,1.2825,100.405202962
514,1.285,100.405202962
515,1.2875,100.405202962
516,1.29,100.405202962
517,1.2925,100.405202962
518,1.295,100.405202962
519,1.2975,100.405202962
520,1.3,100.405202962
521,1.3025,100.405202962
522,1.305,100.405202962
523,1.3075,100.405202962
524,1.31,100.405202962
525,1.3125,100.405202962
526,1.315,100.405202962
527,1.3175,100.405202962
528,1.32,100.405202962
529,1.3225,100.405202962
530,1.325,100.405202962
531,1.3275,100.405202962
532,1.33,100.405202962
533,1.3325,100.405202962
534,1.335,100.405202962
535,1.3375,100.405202962
536,1.34,100.405202962
537,1.3425,100.405202962
538,1.345,100.465135185
539,1.3475,100.405202962
540,1.35,100.405202962
541,1.3525,100.405202962
542,1.355,100.405202962
543,1.3575,100.405202962
544,1.36,100.405202962
545,1.3625,100.405202962
546,1.365,100.405202962
547,1.3675,100.405202962
548,1.37,100.405202962
549,1.3725,100.405202962
550,1.375,100.405202962
551,1.3775,100.405202962
552,1.38,100.405202962
553,1.3825,100.405202962
554,1.385,100.405202962
555,1.3875,100.405202962
556,1.39,100.405202962
557,1.3925,100.405202962
558,1.395,100.405202962
559,1.3975,100.405202962
560,1.4,100.405202962
561,1.4025,100.405202962
562,1.405,100.405202962
563,1.4075,100.405202962
564,1.41,100.405202962
565,1.4125,100.405202962
566,1.415,100.405202962
567,1.4175,100.405202962
568,1.42,100.405202962
569,1.4225,100.405202962
570,1.425,100.405202962
571,1.4275,100.405202962
572,1.43,100.405202962
573,1.4325,100.405202962
574,1.435,100.405202962
575,1.4375,100.405202962
576,1.44,100.405202962
577,1.4425,100.405202962
578,1.445,100.405202962
579,1.4475,100.405202962
580,1.45,100.405202962
581,1.4525,100.405202962
582,1.455,100.405202962
583,1.4575,100.405202962
584,1.46,100.405202962
585,1.4625,100.405202962
586,1.465,100.405202962
587,1.4675,100.405202962
588,1.47,100.405202962
589,1.4725,100.405202962
590,1.475,100.405202962
591,1.4775,100.405202962
592,1.48,100.405202962
593,1.4825,100.405202962
594,1.485,100.405202962
595,1.4875,100.405202962
596,1.49,100.405202962
597,1.4925,100.405202962
598,1.495,100.405202962
599,1.4975,100.405202962
600,1.5,100.405202962
601,1.5025,100.405202962
602,1.505,100.405202962
603,1.5075,100.405202962
604,1.51,100.405202962
605,1.5125,100.465135185
606,1.515,100.405202962
607,1.5175,100.405202962
608,1.52,100.405202962
609,1.5225,100.405202962
610,1.525,100.405202962
