,Latest: Time (s),Latest: Pressure (kPa)
635,1.5875,209.875154708
636,1.59,209.815222484
637,1.5925,209.75529026099997
638,1.595,209.691612273
639,1.5975,209.63168005
640,1.6,209.50806983900003
641,1.6025,209.50806983900003
642,1.605,209.448137616
643,1.6075,209.388205393
644,1.61,209.324527405
645,1.6125,209.200917195
646,1.615,209.200917195
647,1.6175,209.140984971
648,1.62,209.081052748
649,1.6225,209.01737476099999
650,1.625,208.95744253700002
651,1.6275,208.89751031400002
652,1.63,208.833832327
653,1.6325,208.773900103
654,1.635,208.71396788
655,1.6375,208.65028989200002
656,1.64,208.590357669
657,1.6425,208.53042544599998
658,1.645,208.466747458
659,1.6475,208.343137248
660,1.65,208.343137248
661,1.6525,208.283205024
662,1.655,208.283205024
663,1.6575,208.22327280099998
664,1.66,208.09966259
665,1.6625,208.09966259
666,1.665,208.039730367
667,1.6675,207.97605238
668,1.67,207.91612015599998
669,1.6725,207.856187933
670,1.675,207.856187933
671,1.6775,207.732577722
672,1.68,207.732577722
673,1.6825,207.67264549900003
674,1.685,207.67264549900003
675,1.6875,207.60896751099997
676,1.69,207.549035288
677,1.6925,207.489103065
678,1.695,207.425425077
679,1.6975,207.425425077
680,1.7,207.30181486700002
681,1.7025,207.30181486700002
682,1.705,207.241882643
683,1.7075,207.18195042
684,1.71,207.118272433
685,1.7125,207.05834020900002
686,1.715,207.05834020900002
687,1.7175,206.998407986
688,1.72,206.998407986
689,1.7225,206.934729999
690,1.725,206.874797775
691,1.7275,206.75118756400002
692,1.73,206.81486555200001
693,1.7325,206.63132311799998
694,1.735,206.56764513
695,1.7375,206.56764513
696,1.74,206.507712907
697,1.7425,206.38410269599999
698,1.745,206.38410269599999
699,1.7475,206.38410269599999
700,1.75,206.32417047299998
701,1.7525,206.32417047299998
702,1.755,206.26049248599998
703,1.7575,206.200560262
704,1.76,206.200560262
705,1.7625,206.140628039
706,1.765,206.01701782799998
707,1.7675,206.01701782799998
708,1.77,206.01701782799998
709,1.7725,205.957085605
710,1.775,205.893407618
711,1.7775,205.833475394
712,1.78,205.833475394
713,1.7825,205.833475394
714,1.785,205.77354317099997
715,1.7875,205.709865183
716,1.79,205.709865183
717,1.7925,205.64993296
718,1.795,205.64993296
719,1.7975,205.590000737
720,1.8,205.526322749
721,1.8025,205.526322749
722,1.805,205.466390526
723,1.8075,205.40271253900002
724,1.81,205.342780315
725,1.8125,205.342780315
726,1.815,205.282848092
727,1.8175,205.282848092
728,1.82,205.219170105
729,1.8225,205.159237881
730,1.825,205.159237881
731,1.8275,205.099305658
732,1.83,205.099305658
733,1.8325,205.035627671
734,1.835,205.035627671
735,1.8375,204.97569544700002
736,1.84,204.91576322400002
737,1.8425,204.91576322400002
738,1.845,204.91576322400002
739,1.8475,204.91576322400002
740,1.85,204.852085236
741,1.8525,204.792153013
742,1.855,204.792153013
743,1.8575,204.792153013
744,1.86,204.73222079
745,1.8625,204.66854280200002
746,1.865,204.60861057900001
747,1.8675,204.60861057900001
748,1.87,204.60861057900001
749,1.8725,204.54867835599998
750,1.875,204.54867835599998
751,1.8775,204.485000368
752,1.88,204.485000368
753,1.8825,204.425068145
754,1.885,204.361390158
755,1.8875,204.361390158
756,1.89,204.361390158
757,1.8925,204.301457934
758,1.895,204.301457934
759,1.8975,204.301457934
760,1.9,204.24152571099998
761,1.9025,204.177847724
762,1.905,204.177847724
763,1.9075,204.1179155
764,1.91,204.1179155
765,1.9125,204.1179155
766,1.915,204.057983277
767,1.9175,204.057983277
768,1.92,204.057983277
769,1.9225,204.057983277
770,1.925,203.99430529
771,1.9275,203.874440843
772,1.93,203.93437306599998
773,1.9325,203.874440843
774,1.935,203.874440843
775,1.9375,203.810762855
776,1.94,203.810762855
777,1.9425,203.810762855
778,1.945,203.750830632
779,1.9475,203.750830632
780,1.95,203.69089840900003
781,1.9525,203.69089840900003
782,1.955,203.69089840900003
783,1.9575,203.62722042099998
784,1.96,203.62722042099998
785,1.9625,203.567288198
786,1.965,203.567288198
787,1.9675,203.567288198
788,1.97,203.443677987
789,1.9725,203.503610211
790,1.975,203.443677987
791,1.9775,203.443677987
792,1.98,203.38374576400003
793,1.9825,203.38374576400003
794,1.985,203.38374576400003
795,1.9875,203.38374576400003
796,1.99,203.32006777700002
797,1.9925,203.32006777700002
798,1.995,203.32006777700002
799,1.9975,203.32006777700002
800,2.0,203.260135553
801,2.0025,203.260135553
802,2.005,203.20020333
803,2.0075,203.136525343
804,2.01,203.20020333
805,2.0125,203.136525343
806,2.015,203.07659311900002
807,2.0175,203.07659311900002
808,2.02,203.07659311900002
809,2.0225,203.016660896
810,2.025,203.016660896
811,2.0275,202.952982909
812,2.03,202.952982909
813,2.0325,202.952982909
814,2.035,202.893050685
815,2.0375,202.893050685
816,2.04,202.83311846200002
817,2.0425,202.83311846200002
818,2.045,202.83311846200002
819,2.0475,202.83311846200002
820,2.05,202.83311846200002
821,2.0525,202.76944047400002
822,2.055,202.76944047400002
823,2.0575,202.709508251
824,2.06,202.709508251
825,2.0625,202.64957602799998
826,2.065,202.64957602799998
827,2.0675,202.64957602799998
828,2.07,202.64957602799998
829,2.0725,202.64957602799998
830,2.075,202.64957602799998
831,2.0775,202.58589804
832,2.08,202.58589804
833,2.0825,202.58589804
834,2.085,202.525965817
835,2.0875,202.525965817
836,2.09,202.525965817
837,2.0925,202.46228783
838,2.095,202.46228783
839,2.0975,202.46228783
840,2.1,202.402355606
841,2.1025,202.46228783
842,2.105,202.402355606
843,2.1075,202.402355606
844,2.11,202.402355606
845,2.1125,202.34242338299998
846,2.115,202.402355606
847,2.1175,202.34242338299998
848,2.12,202.34242338299998
849,2.1225,202.27874539599998
850,2.125,202.27874539599998
851,2.1275,202.27874539599998
852,2.13,202.27874539599998
853,2.1325,202.27874539599998
854,2.135,202.218813172
855,2.1375,202.218813172
856,2.14,202.218813172
857,2.1425,202.158880949
858,2.145,202.158880949
859,2.1475,202.218813172
860,2.15,202.158880949
861,2.1525,202.095202962
862,2.155,202.095202962
863,2.1575,202.095202962
864,2.16,202.095202962
865,2.1625,202.095202962
866,2.165,202.095202962
867,2.1675,202.095202962
868,2.17,202.03527073799998
869,2.1725,202.03527073799998
870,2.175,201.975338515
871,2.1775,201.975338515
872,2.18,201.975338515
873,2.1825,201.975338515
874,2.185,201.911660527
875,2.1875,201.975338515
876,2.19,201.911660527
877,2.1925,201.911660527
878,2.195,201.911660527
879,2.1975,201.911660527
880,2.2,201.851728304
881,2.2025,201.851728304
882,2.205,201.851728304
883,2.2075,201.79179608099997
884,2.21,201.851728304
885,2.2125,201.79179608099997
886,2.215,201.79179608099997
887,2.2175,201.79179608099997
888,2.22,201.79179608099997
889,2.2225,201.728118093
890,2.225,201.66818587
891,2.2275,201.728118093
892,2.23,201.66818587
893,2.2325,201.66818587
894,2.235,201.66818587
