,Unnamed: 0,Latest: Time (s),Latest: Pressure (kPa)
0,0,0.0,101.63006777700001
1,1,0.0025,101.69
2,2,0.005,101.69
3,3,0.0075,101.69
4,4,0.01,101.69
5,5,0.0125,101.69
6,6,0.015,101.69
7,7,0.0175,101.69
8,8,0.02,101.69
9,9,0.0225,101.69
10,10,0.025,101.69
11,11,0.0275,101.69
12,12,0.03,101.69
13,13,0.0325,101.69
14,14,0.035,101.69
15,15,0.0375,101.69
16,16,0.04,101.69
17,17,0.0425,101.69
18,18,0.045,101.69
19,19,0.0475,101.69
20,20,0.05,101.69
21,21,0.0525,101.69
22,22,0.055,101.69
23,23,0.0575,101.69
24,24,0.06,101.69
25,25,0.0625,101.69
26,26,0.065,101.69
27,27,0.0675,101.69
28,28,0.07,101.69
29,29,0.0725,101.69
30,30,0.075,101.69
31,31,0.0775,101.69
32,32,0.08,101.69
33,33,0.0825,101.69
34,34,0.085,101.69
35,35,0.0875,101.69
36,36,0.09,101.69
37,37,0.0925,101.69
38,38,0.095,101.69
39,39,0.0975,101.69
40,40,0.1,101.69
41,41,0.1025,101.69
42,42,0.105,101.69
43,43,0.1075,101.69
44,44,0.11,101.69
45,45,0.1125,101.69
46,46,0.115,101.69
47,47,0.1175,101.69
48,48,0.12,101.69
49,49,0.1225,101.69
50,50,0.125,101.69
51,51,0.1275,101.69
52,52,0.13,101.69
53,53,0.1325,101.69
54,54,0.135,101.69
55,55,0.1375,101.69
56,56,0.14,101.69
57,57,0.1425,101.69
58,58,0.145,101.69
59,59,0.1475,101.69
60,60,0.15,101.69
61,61,0.1525,101.69
62,62,0.155,101.69
63,63,0.1575,101.69
64,64,0.16,101.69
65,65,0.1625,101.69
66,66,0.165,101.69
67,67,0.1675,101.69
68,68,0.17,101.69
69,69,0.1725,101.69
70,70,0.175,101.69
71,71,0.1775,101.69
72,72,0.18,101.69
73,73,0.1825,101.69
74,74,0.185,101.69
75,75,0.1875,101.69
76,76,0.19,101.69
77,77,0.1925,101.69
78,78,0.195,101.69
79,79,0.1975,101.69
80,80,0.2,101.69
81,81,0.2025,101.69
82,82,0.205,101.69
83,83,0.2075,101.69
84,84,0.21,101.69
85,85,0.2125,101.69
86,86,0.215,101.69
87,87,0.2175,101.69
88,88,0.22,101.69
89,89,0.2225,101.69
90,90,0.225,101.69
91,91,0.2275,101.69
92,92,0.23,101.69
93,93,0.2325,101.69
94,94,0.235,101.69
95,95,0.2375,101.69
96,96,0.24,101.69
97,97,0.2425,101.69
98,98,0.245,101.69
99,99,0.2475,101.69
100,100,0.25,101.69
101,101,0.2525,101.69
102,102,0.255,101.69
103,103,0.2575,101.69
104,104,0.26,101.69
105,105,0.2625,101.69
106,106,0.265,101.69
107,107,0.2675,101.69
108,108,0.27,101.69
109,109,0.2725,101.69
110,110,0.275,101.69
111,111,0.2775,101.69
112,112,0.28,101.69
