"Latest: Time (s)","Latest: Pressure (kPa)"
1.325,224.333803595
1.3275,224.150261161
1.33,223.966718727
1.3325,223.843108516
1.335,223.659566082
1.3375,223.535955872
1.34,223.416091425
1.3425,223.232548991
1.345,223.049006557
1.3475,222.925396346
1.35,222.741853912
1.3525,222.558311478
1.355,222.374769044
1.3575,222.19122661
1.36,222.007684176
1.3625,221.884073965
1.365,221.700531531
1.3675,221.516989097
1.37,221.393378886
1.3725,221.269768675
1.375,221.086226241
1.3775,220.966361795
1.38,220.779073597
1.3825,220.65920915
1.385,220.535598939
1.3875,220.352056505
1.39,220.228446294
1.3925,220.108581848
1.395,219.92129365
1.3975,219.801429203
1.4,219.617886769
1.4025,219.494276558
1.405,219.434344335
1.4075,219.310734124
1.41,219.12719169
1.4125,219.003581479
1.415,218.879971269
1.4175,218.760106822
1.42,218.636496611
1.4225,218.5128864
1.425,218.329343966
1.4275,218.20947952
1.43,218.085869309
1.4325,218.022191322
1.435,217.838648888
1.4375,217.718784441
1.44,217.59517423
1.4425,217.411631796
1.445,217.351699573
1.4475,217.168157139
1.45,217.044546928
1.4525,216.980868941
1.455,216.797326507
1.4575,216.67746206
1.46,216.553851849
1.4625,216.493919626
1.465,216.310377192
1.4675,216.186766981
1.47,216.06315677
1.4725,215.879614336
1.475,215.819682113
1.4775,215.636139679
1.48,215.572461691
1.4825,215.388919257
1.485,215.205376823
1.4875,215.1454446
1.49,214.961902166
1.4925,214.838291955
1.495,214.654749521
1.4975,214.411274864
1.5,214.347596876
1.5025,214.22773243
1.505,214.104122219
1.5075,213.920579785
1.51,213.856901798
1.5125,213.737037351
1.515,213.673359363
1.5175,213.61342714
1.52,213.429884706
1.5225,213.429884706
1.525,213.246342272
1.5275,213.182664285
1.53,213.122732061
1.5325,213.062799838
1.535,212.879257404
1.5375,212.815579417
1.54,212.755647193
1.5425,212.632036982
1.545,212.572104759
1.5475,212.448494548
1.55,212.388562325
1.5525,212.264952114
1.555,212.141341904
1.5575,212.08140968
1.56,211.95779947
1.5625,211.897867246
1.565,211.714324812
1.5675,211.654392589
1.57,211.590714601
1.5725,211.470850155
1.575,211.407172167
1.5775,211.287307721
1.58,211.16369751
1.5825,211.100019523
1.585,211.040087299
1.5875,210.916477089
1.59,210.856544865
1.5925,210.732934654
1.595,210.732934654
1.5975,210.613070208
1.6,210.489459997
1.6025,210.429527774
1.605,210.365849786
1.6075,210.242239576
1.61,210.182307352
1.6125,210.122375129
1.615,209.998764918
1.6175,209.938832695
1.62,209.875154708
1.6225,209.815222484
1.625,209.691612273
1.6275,209.63168005
1.63,209.571747827
1.6325,209.508069839
1.635,209.448137616
1.6375,209.264595182
1.64,209.200917195
1.6425,209.200917195
1.645,209.140984971
1.6475,209.017374761
1.65,208.957442537
1.6525,208.897510314
1.655,208.773900103
1.6575,208.71396788
1.66,208.71396788
1.6625,208.590357669
1.665,208.530425446
1.6675,208.530425446
1.67,208.466747458
1.6725,208.343137248
1.675,208.343137248
1.6775,208.283205024
1.68,208.223272801
1.6825,208.159594814
1.685,208.09966259
1.6875,208.039730367
1.69,207.916120156
1.6925,207.856187933
1.695,207.792509945
1.6975,207.792509945
1.7,207.672645499
1.7025,207.672645499
1.705,207.549035288
1.7075,207.549035288
1.71,207.425425077
1.7125,207.365492854
1.715,207.301814867
1.7175,207.241882643
1.72,207.18195042
1.7225,207.18195042
1.725,207.118272433
1.7275,206.998407986
1.73,206.998407986
1.7325,206.998407986
1.735,206.874797775
1.7375,206.814865552
1.74,206.691255341
