,Latest: Time (s),Latest: Pressure (kPa)
0,0.0,102.30430529
1,0.0025,102.30430529
2,0.005,102.24437306600001
3,0.0075,102.30430529
4,0.01,102.30430529
5,0.0125,102.30430529
6,0.015,102.30430529
7,0.0175,102.30430529
8,0.02,102.30430529
9,0.0225,102.30430529
10,0.025,102.30430529
11,0.0275,102.30430529
12,0.03,102.30430529
13,0.0325,102.30430529
14,0.035,102.30430529
15,0.0375,102.30430529
16,0.04,102.30430529
17,0.0425,102.30430529
18,0.045,102.30430529
19,0.0475,102.30430529
20,0.05,102.30430529
21,0.0525,102.30430529
22,0.055,102.30430529
23,0.0575,102.30430529
24,0.06,102.36423751299999
25,0.0625,102.30430529
26,0.065,102.30430529
27,0.0675,102.30430529
28,0.07,102.30430529
29,0.0725,102.30430529
30,0.075,102.30430529
31,0.0775,102.30430529
32,0.08,102.30430529
33,0.0825,102.30430529
34,0.085,102.30430529
35,0.0875,102.30430529
36,0.09,102.30430529
37,0.0925,102.30430529
38,0.095,102.30430529
39,0.0975,102.30430529
40,0.1,102.30430529
41,0.1025,102.30430529
42,0.105,102.30430529
43,0.1075,102.30430529
44,0.11,102.24437306600001
45,0.1125,102.30430529
46,0.115,102.30430529
47,0.1175,102.30430529
48,0.12,102.30430529
49,0.1225,102.30430529
50,0.125,102.24437306600001
51,0.1275,102.30430529
52,0.13,102.30430529
53,0.1325,102.30430529
54,0.135,102.30430529
55,0.1375,102.30430529
56,0.14,102.30430529
57,0.1425,102.30430529
58,0.145,102.30430529
59,0.1475,102.30430529
60,0.15,102.30430529
61,0.1525,102.30430529
62,0.155,102.30430529
63,0.1575,102.30430529
64,0.16,102.30430529
65,0.1625,102.30430529
66,0.165,102.30430529
67,0.1675,102.30430529
68,0.17,102.30430529
69,0.1725,102.30430529
70,0.175,102.24437306600001
71,0.1775,102.30430529
72,0.18,102.30430529
73,0.1825,102.30430529
74,0.185,102.30430529
75,0.1875,102.30430529
76,0.19,102.30430529
77,0.1925,102.24437306600001
78,0.195,102.30430529
79,0.1975,102.36423751299999
80,0.2,102.30430529
81,0.2025,102.30430529
82,0.205,102.30430529
83,0.2075,102.30430529
84,0.21,102.30430529
85,0.2125,102.30430529
86,0.215,102.30430529
87,0.2175,102.30430529
88,0.22,102.30430529
89,0.2225,102.30430529
90,0.225,102.30430529
91,0.2275,102.30430529
92,0.23,102.30430529
93,0.2325,102.30430529
94,0.235,102.30430529
95,0.2375,102.30430529
96,0.24,102.24437306600001
97,0.2425,102.30430529
98,0.245,102.30430529
99,0.2475,102.30430529
100,0.25,102.30430529
101,0.2525,102.30430529
102,0.255,102.30430529
103,0.2575,102.30430529
104,0.26,102.30430529
105,0.2625,102.36423751299999
106,0.265,102.30430529
107,0.2675,102.30430529
108,0.27,102.30430529
109,0.2725,102.30430529
110,0.275,102.30430529
111,0.2775,102.30430529
112,0.28,102.30430529
113,0.2825,102.30430529
114,0.285,102.30430529
115,0.2875,102.30430529
116,0.29,102.30430529
117,0.2925,102.30430529
118,0.295,102.30430529
119,0.2975,102.30430529
120,0.3,102.30430529
121,0.3025,102.30430529
122,0.305,102.30430529
123,0.3075,102.30430529
124,0.31,102.30430529
125,0.3125,102.30430529
126,0.315,102.30430529
127,0.3175,102.30430529
128,0.32,102.30430529
129,0.3225,102.30430529
130,0.325,102.30430529
131,0.3275,102.30430529
132,0.33,102.30430529
133,0.3325,102.30430529
134,0.335,102.30430529
135,0.3375,102.36423751299999
136,0.34,102.30430529
137,0.3425,102.30430529
138,0.345,102.30430529
139,0.3475,102.30430529
140,0.35,102.30430529
141,0.3525,102.30430529
142,0.355,102.30430529
143,0.3575,102.30430529
144,0.36,102.30430529
145,0.3625,102.30430529
146,0.365,102.30430529
147,0.3675,102.30430529
148,0.37,102.36423751299999
149,0.3725,102.30430529
150,0.375,102.30430529
151,0.3775,102.30430529
152,0.38,102.30430529
153,0.3825,102.30430529
154,0.385,102.36423751299999
155,0.3875,102.30430529
156,0.39,102.30430529
157,0.3925,102.30430529
158,0.395,102.30430529
159,0.3975,102.30430529
160,0.4,102.30430529
161,0.4025,102.30430529
162,0.405,102.30430529
163,0.4075,102.30430529
164,0.41,102.30430529
165,0.4125,102.30430529
166,0.415,102.30430529
167,0.4175,102.30430529
168,0.42,102.30430529
169,0.4225,102.30430529
170,0.425,102.30430529
171,0.4275,102.30430529
172,0.43,102.30430529
173,0.4325,102.30430529
174,0.435,102.30430529
175,0.4375,102.30430529
176,0.44,102.30430529
177,0.4425,102.30430529
178,0.445,102.30430529
179,0.4475,102.30430529
180,0.45,102.30430529
181,0.4525,102.30430529
182,0.455,102.30430529
183,0.4575,102.30430529
184,0.46,102.30430529
185,0.4625,102.30430529
186,0.465,102.30430529
187,0.4675,102.30430529
188,0.47,102.30430529
189,0.4725,102.30430529
190,0.475,102.30430529
191,0.4775,102.30430529
192,0.48,102.30430529
193,0.4825,102.30430529
194,0.485,102.30430529
195,0.4875,102.30430529
196,0.49,102.30430529
197,0.4925,102.30430529
198,0.495,102.30430529
199,0.4975,102.30430529
200,0.5,102.30430529
201,0.5025,102.36423751299999
202,0.505,102.30430529
203,0.5075,102.30430529
204,0.51,102.30430529
205,0.5125,102.30430529
206,0.515,102.30430529
207,0.5175,102.30430529
208,0.52,102.30430529
209,0.5225,102.30430529
210,0.525,102.30430529
211,0.5275,102.30430529
212,0.53,102.30430529
213,0.5325,102.30430529
214,0.535,102.30430529
215,0.5375,102.30430529
216,0.54,102.30430529
217,0.5425,102.30430529
218,0.545,102.30430529
219,0.5475,102.30430529
220,0.55,102.30430529
221,0.5525,102.30430529
222,0.555,102.30430529
223,0.5575,102.30430529
224,0.56,102.30430529
225,0.5625,102.30430529
226,0.565,102.30430529
227,0.5675,102.30430529
228,0.57,102.30430529
229,0.5725,102.30430529
230,0.575,102.30430529
231,0.5775,102.30430529
232,0.58,102.30430529
233,0.5825,102.30430529
234,0.585,102.30430529
235,0.5875,102.30430529
236,0.59,102.30430529
237,0.5925,102.30430529
238,0.595,102.30430529
239,0.5975,102.30430529
240,0.6,102.30430529
241,0.6025,102.30430529
242,0.605,102.30430529
