,time,x,v,a
0,0.05,0.8236063,-0.488357222222,-1.35460762963
1,0.1,0.8009826,-0.545540111111,-1.63198301852
2,0.15,0.7731779000000001,-0.6350179,-1.96484627778
3,0.2,0.7389833,-0.752876055556,-2.06896732099
4,0.25,0.6971899,-0.8613892222220001,-1.766721
5,0.3,0.6521151999999999,-0.948027055556,-1.08989690741
6,0.35,0.5989236,-0.967695666667,-0.4274325
7,0.4,0.5550578,-0.971245611111,-0.09722370370370001
8,0.45,0.5029024000000001,-0.984965666667,0.328289907407
9,0.5,0.4535102,-0.942558222222,0.823523148148
10,0.55,0.4089536,-0.897368388889,1.26929169753
11,0.6,0.36301540000000004,-0.826273555556,1.89698157407
12,0.65,0.32398520000000003,-0.708645666667,2.52189972222
13,0.7,0.29099949999999997,-0.562042555556,2.9172974382700003
14,0.75,0.26785770000000003,-0.410450333333,3.1385026851899998
15,0.8,0.2493788,-0.241971888889,3.10108435185
16,0.85,0.24333429999999998,-0.082896,2.63586040123
17,0.9,0.2407438,0.06514627777780001,1.5062211728400001
18,0.95,0.2599135,0.043750666666699994,0.9223459259260001
19,1.0,0.24333429999999998,0.05583966666669999,2.14670364198
20,1.05,0.2540417,0.267493111111,3.2868434567900002
21,1.1,0.27269329999999997,0.45084294444399997,3.2604587345700002
22,1.15,0.30084340000000004,0.610398555556,2.7444375308599995
23,1.2,0.3352107,0.726491333333,2.08290058642
24,1.25,0.3745863,0.814472388889,1.49987817901
25,1.3,0.4177613,0.8740538888889999,0.972610154321
26,1.35,0.46283599999999997,0.9104168333329999,0.487664290123
27,1.4,0.5098104,0.922505833333,0.0138586419753
28,1.45,0.556094,0.9095533333329999,-0.430683950617
29,1.5,0.600996,0.8829767222220001,-0.9317271604940001
30,1.55,0.6460707,0.8204209444439999,-1.48516669753
31,1.6,0.6845828,0.7245724444439999,-1.85796416667
32,1.65,0.7180866,0.6292996111110001,-2.1215448765400002
33,1.7,0.7483091,0.515605444444,-2.42025191358
34,1.75,0.770242,0.38742366666699996,-2.7106970679000004
35,1.8,0.7876847,0.243890777778,-2.9733716358
36,1.85,0.7954562,0.082896,-3.07869731481
37,1.9,0.7954562,-0.0700394444444,-3.03392324074
38,1.95,0.7887209,-0.22508566666700003,-2.87294978395
39,2.0,0.7721416999999999,-0.363149722222,-2.59044669753
40,2.05,0.7514177,-0.48068166666699996,-2.34445580247
41,2.1,0.7244765000000001,-0.598693333333,-2.0694150617299996
42,2.15,0.6904545999999999,-0.6935823888889999,-1.6881958024700001
43,2.2,0.6540149000000001,-0.7646772222220001,-1.32739138889
44,2.25,0.6141211999999999,-0.829343777778,-0.889138487654
45,2.3,0.5697373,-0.862060833333,-0.307555246914
46,2.35,0.5262169,-0.8580311666670001,0.222964228395
47,2.4,0.4828692,-0.829343777778,0.562927376543
48,2.45,0.44332089999999996,-0.7949956666670001,0.7843458333329999
49,2.5,0.4037726,-0.760839444444,1.1736670679
50,2.55,0.3652605,-0.687058166667,1.7241749691400001
51,2.6,0.3334837,-0.579696333333,2.12591567901
52,2.65,0.307406,-0.465810277778,2.33971188272
53,2.7,0.28650929999999997,-0.343673,2.45740373457
54,2.75,0.27234790000000003,-0.21107777777800002,2.40234228395
55,2.8,0.2668215,-0.10150922222200001,2.31465972222
56,2.85,0.26215859999999996,0.00911472222222,2.4112437963
57,2.9,0.2664761,0.14027077777799998,2.4945022530900003
58,2.95,0.27649270000000004,0.267013388889,2.4255288580200003
59,3.0,0.29359,0.38627233333300004,2.26466200617
60,3.05,0.31552290000000005,0.49459361111100003,2.05299790123
61,3.1,0.3433276,0.593992055556,1.7799293518500001
62,3.15,0.37562249999999997,0.6761205,1.4277599382700001
63,3.2,0.4117168,0.7388681666670001,1.02303429012
64,3.25,0.45040159999999996,0.779356722222,0.589418703704
65,3.3,0.490468,0.798065888889,0.14988654320999997
66,3.35,0.5310524999999999,0.794707833333,-0.280317685185
67,3.4,0.5711189,0.7664042222220001,-0.6404824691359999
68,3.45,0.6080767,0.7251481111110001,-0.9141373456790001
69,3.5,0.6433075,0.681877166667,-1.29743540123
70,3.55,0.6781929,0.6010919444439999,-1.76836271605
71,3.6,0.704616,0.494209833333,-2.0568356790099998
72,3.65,0.7268943,0.392412777778,-2.27212435185
73,3.7,0.7448551,0.270563333333,-2.50905382716
74,3.75,0.754699,0.134897888889,-2.61214080247
75,3.8,0.7579803,0.003454,-2.59599015432
76,3.85,0.7548716999999999,-0.125303444444,-2.53767725309
77,3.9,0.7453732,-0.250510944444,-2.4456771913599997
78,3.95,0.7300029,-0.375334666667,-2.2437141358000003
79,4.0,0.7068611,-0.48087355555600003,-1.91771623457
80,4.05,0.6809561,-0.5640573888889999,-1.62140780864
81,4.1,0.6507335999999999,-0.6457061111110001,-1.27744697531
82,4.15,0.6146393,-0.693102666667,-0.904542901235
83,4.2,0.5813081999999999,-0.732248,-0.577052530864
84,4.25,0.5412418000000001,-0.759208388889,-0.110549320988
85,4.3,0.5032478,-0.7447207777779999,0.36346953703699997
86,4.35,0.4659446,-0.710756444444,0.6364847839509999
87,4.4,0.4327862,-0.679478555556,0.8758661728399999
88,4.45,0.39738270000000003,-0.633233333333,1.2732893827200003
89,4.5,0.3676783,-0.551680555556,1.66303703704
90,4.55,0.341946,-0.459477944444,1.91547753086
91,4.6,0.32139470000000003,-0.35681738888899994,2.07767694444
92,4.65,0.30602440000000003,-0.24907177777800002,2.1653062037
93,4.7,0.29635320000000004,-0.137872166667,2.19851364198
94,4.75,0.29238109999999995,-0.0284955,2.2081613888900002
