Column1,Column2,Column3
"Light Intensity, Ch A vs Angular Position, Ch 1&2, Run #10",,"Light Intensity, Ch A vs Angular Position, Ch 1&2, Run #10,"
"Angular Position, Ch 1&2 ( deg )","Light Intensity, Ch A ( % max )","Angular Position, Ch 1&2 ( deg ),Light Intensity, Ch A ( % max )"
0.0,1.8,"0.0,1.8"
0.0,0.7,"0.0,0.7"
0.0,0.4,"0.0,0.4"
0.0,0.2,"0.0,0.2"
0.0,0.2,"0.0,0.2"
0.0,0.1,"0.0,0.1"
0.0,0.1,"0.0,0.1"
0.0,0.1,"0.0,0.1"
0.0,0.1,"0.0,0.1"
0.0,0.1,"0.0,0.1"
0.0,0.1,"0.0,0.1"
0.0,0.1,"0.0,0.1"
0.0,0.1,"0.0,0.1"
0.0,0.0,"0.0,0.0"
0.0,0.1,"0.0,0.1"
0.0,0.0,"0.0,0.0"
0.0,0.0,"0.0,0.0"
0.0,0.0,"0.0,0.0"
0.0,0.0,"0.0,0.0"
0.0,0.0,"0.0,0.0"
0.0,0.0,"0.0,0.0"
0.0,0.1,"0.0,0.1"
0.0,0.1,"0.0,0.1"
0.0,0.1,"0.0,0.1"
0.0,0.1,"0.0,0.1"
0.0,0.1,"0.0,0.1"
0.0,0.1,"0.0,0.1"
0.0,0.1,"0.0,0.1"
0.0,0.2,"0.0,0.2"
0.0,0.2,"0.0,0.2"
0.0,0.2,"0.0,0.2"
0.0,0.3,"0.0,0.3"
0.0,0.4,"0.0,0.4"
0.0,0.6,"0.0,0.6"
0.0,0.7,"0.0,0.7"
0.0,0.7,"0.0,0.7"
0.0,0.6,"0.0,0.6"
0.0,0.6,"0.0,0.6"
0.0,0.6,"0.0,0.6"
0.0,0.5,"0.0,0.5"
0.0,0.5,"0.0,0.5"
0.0,0.5,"0.0,0.5"
0.0,0.4,"0.0,0.4"
0.0,0.4,"0.0,0.4"
0.0,0.3,"0.0,0.3"
0.0,0.3,"0.0,0.3"
0.0,0.2,"0.0,0.2"
0.0,0.1,"0.0,0.1"
0.0,0.1,"0.0,0.1"
0.0,0.1,"0.0,0.1"
-0.3,0.1,"-0.3,0.1"
-3.7,0.1,"-3.7,0.1"
-13.2,0.1,"-13.2,0.1"
-24.0,0.1,"-24.0,0.1"
-36.5,0.0,"-36.5,0.0"
-52.8,0.1,"-52.8,0.1"
-67.5,0.1,"-67.5,0.1"
-79.2,0.0,"-79.2,0.0"
-90.0,0.1,"-90.0,0.1"
-98.8,0.1,"-98.8,0.1"
-110.3,0.0,"-110.3,0.0"
-124.3,0.1,"-124.3,0.1"
-144.5,0.1,"-144.5,0.1"
-167.5,0.1,"-167.5,0.1"
-187.7,0.1,"-187.7,0.1"
-206.0,0.1,"-206.0,0.1"
-217.3,0.1,"-217.3,0.1"
-227.5,0.1,"-227.5,0.1"
-236.5,0.1,"-236.5,0.1"
-244.0,0.0,"-244.0,0.0"
-249.5,0.1,"-249.5,0.1"
-254.5,0.0,"-254.5,0.0"
-259.5,0.0,"-259.5,0.0"
-265.7,0.1,"-265.7,0.1"
-273.3,0.1,"-273.3,0.1"
-283.8,0.1,"-283.8,0.1"
-297.5,0.1,"-297.5,0.1"
-313.5,0.0,"-313.5,0.0"
-327.5,0.0,"-327.5,0.0"
-341.7,0.0,"-341.7,0.0"
-356.0,0.1,"-356.0,0.1"
-369.3,0.0,"-369.3,0.0"
-381.2,0.1,"-381.2,0.1"
-393.0,0.0,"-393.0,0.0"
-404.2,0.0,"-404.2,0.0"
-420.5,0.0,"-420.5,0.0"
-437.7,0.0,"-437.7,0.0"
-453.5,0.0,"-453.5,0.0"
-466.2,0.0,"-466.2,0.0"
-479.5,0.0,"-479.5,0.0"
-492.0,0.0,"-492.0,0.0"
-505.5,0.0,"-505.5,0.0"
-519.2,0.0,"-519.2,0.0"
-532.2,0.0,"-532.2,0.0"
-545.8,0.0,"-545.8,0.0"
-560.7,0.0,"-560.7,0.0"
-576.7,0.1,"-576.7,0.1"
-588.5,0.0,"-588.5,0.0"
-601.5,0.1,"-601.5,0.1"
-615.5,0.0,"-615.5,0.0"
-628.3,0.1,"-628.3,0.1"
-639.2,0.1,"-639.2,0.1"
-648.2,0.1,"-648.2,0.1"
-660.3,0.1,"-660.3,0.1"
-673.2,0.1,"-673.2,0.1"
-686.7,0.1,"-686.7,0.1"
-698.5,0.1,"-698.5,0.1"
-709.5,0.1,"-709.5,0.1"
-722.0,0.1,"-722.0,0.1"
-735.8,0.1,"-735.8,0.1"
-750.2,0.0,"-750.2,0.0"
-766.0,0.0,"-766.0,0.0"
-784.5,0.0,"-784.5,0.0"
-804.0,0.1,"-804.0,0.1"
-821.8,0.0,"-821.8,0.0"
-842.8,0.0,"-842.8,0.0"
-855.5,0.0,"-855.5,0.0"
-867.0,0.0,"-867.0,0.0"
-876.8,0.0,"-876.8,0.0"
-883.8,0.0,"-883.8,0.0"
-890.5,0.0,"-890.5,0.0"
-900.0,0.0,"-900.0,0.0"
-908.5,0.0,"-908.5,0.0"
-915.5,0.0,"-915.5,0.0"
-923.3,0.0,"-923.3,0.0"
-931.2,0.0,"-931.2,0.0"
-938.0,0.0,"-938.0,0.0"
-944.8,0.0,"-944.8,0.0"
-952.5,0.0,"-952.5,0.0"
-963.3,0.0,"-963.3,0.0"
-972.8,0.0,"-972.8,0.0"
-980.5,0.0,"-980.5,0.0"
-989.0,0.0,"-989.0,0.0"
-998.5,0.0,"-998.5,0.0"
-1007.8,0.0,"-1007.8,0.0"
-1016.0,0.0,"-1016.0,0.0"
-1025.0,0.0,"-1025.0,0.0"
-1036.5,0.0,"-1036.5,0.0"
-1050.8,0.0,"-1050.8,0.0"
-1063.5,0.0,"-1063.5,0.0"
-1071.3,0.0,"-1071.3,0.0"
-1079.0,0.0,"-1079.0,0.0"
-1086.5,0.0,"-1086.5,0.0"
-1093.3,0.0,"-1093.3,0.0"
-1101.0,0.0,"-1101.0,0.0"
-1108.5,0.0,"-1108.5,0.0"
-1115.0,0.0,"-1115.0,0.0"
-1120.8,0.0,"-1120.8,0.0"
-1127.8,0.0,"-1127.8,0.0"
-1136.3,0.0,"-1136.3,0.0"
-1143.8,0.0,"-1143.8,0.0"
-1152.3,0.0,"-1152.3,0.0"
-1160.8,0.0,"-1160.8,0.0"
-1172.3,0.0,"-1172.3,0.0"
-1187.3,0.0,"-1187.3,0.0"
-1201.3,0.0,"-1201.3,0.0"
-1217.0,0.0,"-1217.0,0.0"
-1232.0,0.0,"-1232.0,0.0"
-1244.8,0.0,"-1244.8,0.0"
-1255.5,0.0,"-1255.5,0.0"
-1263.5,0.0,"-1263.5,0.0"
-1270.0,0.0,"-1270.0,0.0"
-1279.3,0.0,"-1279.3,0.0"
-1290.0,0.0,"-1290.0,0.0"
-1299.3,0.0,"-1299.3,0.0"
-1305.8,0.0,"-1305.8,0.0"
-1311.5,0.0,"-1311.5,0.0"
-1318.3,0.0,"-1318.3,0.0"
-1328.0,0.0,"-1328.0,0.0"
-1340.3,0.0,"-1340.3,0.0"
-1352.8,0.0,"-1352.8,0.0"
-1364.0,0.0,"-1364.0,0.0"
-1373.5,0.0,"-1373.5,0.0"
-1384.5,0.0,"-1384.5,0.0"
-1395.0,0.0,"-1395.0,0.0"
-1407.3,0.0,"-1407.3,0.0"
-1417.0,0.0,"-1417.0,0.0"
-1428.0,0.0,"-1428.0,0.0"
-1436.0,0.0,"-1436.0,0.0"
-1444.5,0.0,"-1444.5,0.0"
-1452.3,0.0,"-1452.3,0.0"
-1461.0,0.0,"-1461.0,0.0"
-1471.5,0.0,"-1471.5,0.0"
-1481.3,0.0,"-1481.3,0.0"
-1490.5,0.0,"-1490.5,0.0"
-1501.3,0.0,"-1501.3,0.0"
-1512.5,0.0,"-1512.5,0.0"
-1521.8,0.0,"-1521.8,0.0"
-1531.0,0.0,"-1531.0,0.0"
-1542.5,0.0,"-1542.5,0.0"
-1558.3,0.0,"-1558.3,0.0"
-1574.8,0.0,"-1574.8,0.0"
-1587.3,0.0,"-1587.3,0.0"
-1596.5,0.0,"-1596.5,0.0"
-1605.7,0.0,"-1605.7,0.0"
-1615.3,0.0,"-1615.3,0.0"
-1623.8,0.0,"-1623.8,0.0"
