,Unnamed: 0,Latest: Time (s),Latest: Pressure (kPa)
0,0,0.0,101.69
1,1,0.0025,101.753677987
2,2,0.005,101.69
3,3,0.0075,101.753677987
4,4,0.01,101.753677987
5,5,0.0125,101.753677987
6,6,0.015,101.753677987
7,7,0.0175,101.753677987
8,8,0.02,101.753677987
9,9,0.0225,101.753677987
10,10,0.025,101.813610211
11,11,0.0275,101.753677987
12,12,0.03,101.813610211
13,13,0.0325,101.813610211
14,14,0.035,101.813610211
15,15,0.0375,101.753677987
16,16,0.04,101.753677987
17,17,0.0425,101.753677987
18,18,0.045,101.813610211
19,19,0.0475,101.813610211
20,20,0.05,101.753677987
21,21,0.0525,101.753677987
22,22,0.055,101.753677987
23,23,0.0575,101.753677987
24,24,0.06,101.753677987
25,25,0.0625,101.753677987
26,26,0.065,101.753677987
27,27,0.0675,101.813610211
28,28,0.07,101.813610211
29,29,0.0725,101.753677987
30,30,0.075,101.753677987
31,31,0.0775,101.753677987
32,32,0.08,101.813610211
33,33,0.0825,101.813610211
34,34,0.085,101.753677987
35,35,0.0875,101.753677987
36,36,0.09,101.753677987
37,37,0.0925,101.753677987
38,38,0.095,101.753677987
39,39,0.0975,101.753677987
40,40,0.1,101.753677987
41,41,0.1025,101.813610211
42,42,0.105,101.753677987
43,43,0.1075,101.753677987
44,44,0.11,101.753677987
45,45,0.1125,101.753677987
46,46,0.115,101.753677987
47,47,0.1175,101.753677987
48,48,0.12,101.753677987
49,49,0.1225,101.753677987
50,50,0.125,101.813610211
51,51,0.1275,101.753677987
52,52,0.13,101.753677987
53,53,0.1325,101.753677987
54,54,0.135,101.813610211
55,55,0.1375,101.813610211
56,56,0.14,101.753677987
57,57,0.1425,101.753677987
58,58,0.145,101.753677987
59,59,0.1475,101.753677987
60,60,0.15,101.753677987
61,61,0.1525,101.753677987
62,62,0.155,101.753677987
63,63,0.1575,101.753677987
64,64,0.16,101.753677987
65,65,0.1625,101.753677987
66,66,0.165,101.753677987
67,67,0.1675,101.753677987
68,68,0.17,101.813610211
69,69,0.1725,101.753677987
70,70,0.175,101.753677987
71,71,0.1775,101.753677987
72,72,0.18,101.813610211
73,73,0.1825,101.753677987
74,74,0.185,101.753677987
75,75,0.1875,101.753677987
76,76,0.19,101.753677987
77,77,0.1925,101.753677987
78,78,0.195,101.813610211
79,79,0.1975,101.69
80,80,0.2,101.753677987
81,81,0.2025,101.813610211
82,82,0.205,101.813610211
83,83,0.2075,101.813610211
84,84,0.21,101.753677987
85,85,0.2125,101.813610211
86,86,0.215,101.753677987
87,87,0.2175,101.753677987
88,88,0.22,101.69
89,89,0.2225,101.753677987
90,90,0.225,101.753677987
91,91,0.2275,101.753677987
92,92,0.23,101.753677987
93,93,0.2325,101.69
94,94,0.235,101.753677987
95,95,0.2375,101.813610211
96,96,0.24,101.753677987
97,97,0.2425,101.753677987
98,98,0.245,101.753677987
99,99,0.2475,101.753677987
100,100,0.25,101.753677987
